,canonical_smiles,molecule_chembl_id,standard_value,bioactivity_class
0,O=C1Nc2ccc(S(=O)(=O)Nc3ccc(O)c(Cl)c3)c3cccc1c23,CHEMBL3326305,42300.0,inactive
1,O=C1Sc2c(S(=O)(=O)Nc3ccc(O)cc3)cc(S(=O)(=O)Nc3ccc(O)cc3)c3cccc1c23,CHEMBL3326315,14000.0,inactive
2,O=S(=O)(Nc1cc(Cl)c(O)c(Cl)c1)c1ccc2ccccc2c1,CHEMBL3356478,100000.0,inactive
3,O=S(=O)(Nc1ccc(O)c(Cl)c1)c1ccc(F)cc1,CHEMBL3314616,100000.0,inactive
4,Cc1cc2occ(CN(C)CCN(C)Cc3cn(-c4cccc(C(F)(F)F)c4)c4ccccc34)c(=O)c2cc1C.Cl,CHEMBL3326318,20300.0,inactive
5,O=C1Nc2ccc(S(=O)(=O)Nc3ccc(O)c(Cl)c3)c3cccc1c23,CHEMBL3326305,45700.0,inactive
6,O=C1Sc2c(S(=O)(=O)Nc3ccc(O)cc3)cc(S(=O)(=O)Nc3ccc(O)cc3)c3cccc1c23,CHEMBL3326315,25300.0,inactive
8,Cc1cc2occ(CN3CCN(Cc4cn(-c5cccc(C(F)(F)F)c5)c5ccccc45)CC3)c(=O)c2cc1C,CHEMBL3741761,10000.0,inactive
9,Cc1ccc2occ(CN(C)CCN(C)Cc3cn(-c4cccc(C(F)(F)F)c4)c4ccccc34)c(=O)c2c1,CHEMBL3739952,30000.0,inactive
10,Cc1ccc2occ(CN3CCN(Cc4cn(-c5cccc(C(F)(F)F)c5)c5ccccc45)CC3)c(=O)c2c1,CHEMBL3741215,30000.0,inactive
11,Cc1cc2occ(C(=O)N(C)CCN(C)C(=O)c3cn(-c4cccc(C(F)(F)F)c4)c4ccccc34)c(=O)c2cc1C,CHEMBL3742137,20000.0,inactive
12,Nc1cccc(-n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3ccccc32)c1,CHEMBL3740948,10000.0,inactive
13,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2ccccc2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3741720,60000.0,inactive
14,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1,CHEMBL3740702,15000.0,inactive
15,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc([N+](=O)[O-])c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3741275,20000.0,inactive
16,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(S(=O)(=O)c3cccc([N+](=O)[O-])c3)c3ccccc23)CC1,CHEMBL3741940,20000.0,inactive
17,CN(CCN(C)C(=O)c1cn(S(=O)(=O)c2cccc(N)c2)c2ccccc12)C(=O)c1coc2ccccc2c1=O,CHEMBL3740051,25000.0,inactive
18,Nc1cccc(S(=O)(=O)n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3ccccc32)c1,CHEMBL3740334,20000.0,inactive
19,Nc1cccc(-n2cc(C(=O)N3CCN(C(=O)c4coc5ccccc5c4=O)CC3)c3cc(N)ccc32)c1,CHEMBL3741278,40000.0,inactive
20,O=C(c1coc2ccccc2c1=O)N1CCN(C(=O)c2cn(-c3cccc([N+](=O)[O-])c3)c3ccc([N+](=O)[O-])cc23)CC1,CHEMBL3740080,15000.0,inactive
21,O=C(c1coc2ccccc2c1=O)N1CCN(Cc2cn(-c3cccc(C(F)(F)F)c3)c3ccccc23)CC1,CHEMBL3741883,10000.0,inactive
22,O=C(c1ccc2ccccc2c1)N1CCN(Cc2cn(-c3cccc(C(F)(F)F)c3)c3ccccc23)CC1,CHEMBL3741926,20000.0,inactive
23,O=C(c1ccccc1)N1CCN(Cc2cn(-c3cccc(C(F)(F)F)c3)c3ccccc23)CC1,CHEMBL3741027,15000.0,inactive
24,O=C(NCCCNC(=O)c1cn(S(=O)(=O)c2ccccc2)c2ccccc12)c1coc2ccccc2c1=O,CHEMBL3740564,20000.0,inactive
26,Cc1cc2occ(CN3CCN(Cc4cn(-c5cccc(C(F)(F)F)c5)c5ccccc45)CC3)c(=O)c2cc1C,CHEMBL3741761,15000.0,inactive
27,Cc1ccc2occ(CN(C)CCN(C)Cc3cn(-c4cccc(C(F)(F)F)c4)c4ccccc34)c(=O)c2c1,CHEMBL3739952,10000.0,inactive
